Tom Brady
Leonard Fournette
Doug Martin
Mike Evans
Chris Godwin
Vita Vea
Antoine Winfield
Ryan Jensen
Ali Marpet
Ryan Succop
Antonio Brown
Drew Brees
Michael Thomas
Alvin Kamara
Darren Sproles
Reggie Bush
Marques Coltsten
Terron Armstead
Cameron Jordan
Marshawn Lattimore
Jameis Winston
Chris Olave
Cam Newton
Baker Mayfield
Christian Mcaffrey
Sam Darnold
DJ Moore
Robby Anderson
Greg Olsen
Brian Burns
Luke Kuechly
Steve Smith
Alex Mack
Matt Ryan
Julio Jones
AJ Terrell
Marcus Mariota
Desmond Ridder
Drake London
Kyle Pitts
Roddy White
Younghoe Koo
Devonta Freeman
Aaron Donald
Jalen Ramsey
Cooper Kupp
Robert Woods
Cam Akers
Todd Gurley
Darrel Henderson
Tyler Higbee
Gerald Evertt
Jared Goff
Tavon Austin
Matthew Stafford
Terrell Suggs
Haloti Nagta
Bobby Wagner
Richard Sherman
Tyler Lockett
DK Metcalf
Marshawn Lynch
Earl Thomas
Geno Smith
Drew Lock
Rashaad Penny
Chris Carson
Kenneth Walker
Charles Cross
Greg Zuerlein
Jimmy Garopollo
Trey Lance
Aldon Smith
Michael Crabtree
Patrick Willis
Nick Bosa
Deebo Samuel
Frank Gore
Kyle Juszczyk
Brandon Aiyuk
George Kittle
Elijah Mitchell
Fred Warner
Trent Williams
Robbie Gould
Aaron Rodgers
Randall Cobb
Jordy Nelson
Davante Adams
Aaron Jones
AJ Dillon
Marques Valdes Scantling
Allen Lazard
David Bakhtiari
Eddie Lacy
Jaire Alexander
Clay Matthews
Haha Clinton Dix
Mason Crosby
Jared Cutler
Matt Forte
Allen Robinson
Alshon Jeffery
Brian Urlacher
David Montgomery
Darnell Mooney
Justin Fields
Kirk Cousins
Teddy Bridgewater
Dalvin Cook
Alexander Mattison
Adam Thielen
Justin Jefferson
Harrison Smith
Danielle Hunter
Kyle Rudolph
Adrian Peterson
Calvin Johnson
Amon Ra St Brown
Jameson Williams
Deandre Swift
Jamaal Williams
TJ Hockenson
Saquon Barkley
Victor Cruz
Mario Manningham
Eli Manning
Justin Tuck
Jason Pierre Paul
Odell Beckham Jr
Michael Strahan
James Bradburry
Tiki Barber
Ahmad Bradshaw
Jalen Hurts
Michael Vick
Lesean Mccoy
AJ Brown
Miles Sanders
Jordan Mailata
Lane Johnson
Jason Kelce
Fletcher Cox
Devonta Smith
Darius Slaty
Jordan Davis
Darius Slayton
Evan Engram
Kenneth Gainwell
Quez Watkins
Dallas Goedert
Andrew Thomas
Evan Neal
Kayvon Thibodeaux
Leonard Williams
Dexter Lawrnece
Xavier McKinney
Terry Mclaurin
Logan Thomas
Sam Howell
Alex Smith
RG3
